Musica,Letra
Segurança,"[<p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>Ele era o tal, cheio de moral, bon vivant<br/>Parecia um galã, usando óculos Ray-Ban (Don Juan)<br/>Corria em Tarumã, combateu no Vietnã (ra ta ta ta)<br/>Vestia Yves Saint-Laurent (Pierre Cardin)</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>Ele era o tal, um cara tão legal, e fascinava você<br/>Tinha um Puma-GT com vidro fumê<br/>Tinha sauna no apê, só pra você ver (pode crer)<br/>Lutava karatê como nos filmes da TV</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>E o que mais emociona é que tudo nasceu<br/>Numa carona que ele te deu<br/>O que mais me impressiona é que tudo se deu<br/>No banco traseiro de um Alfa Romeo</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você se cansa e rança<br/>Você precisa de alguém que te dê segurança<br/>Senão você</p>]"
"Ouça o Que Eu Digo, Não Ouça Ninguém","[<p>Tantas pessoas<br/>Paradas na esquina<br/>Assistindo a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Vendendo muito mais<br/>Do que queria vender</p>, <p>Vozes à toa<br/>Ecos na esquina<br/>Narrando a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Precisando de mais<br/>Venenos mortais</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te imploraram por favor não vire a mesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Tantas pessoas<br/>Paradas na esquina<br/>Fingindo pena:<br/>Criança pequena<br/>Cheirando cola<br/>Beijando a sola, do sapato</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te disseram pra esperar a sobremesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Ouça o que eu digo: não ouça ninguém</p>]"
Ando Só,"[<p>Ando só<br/>Pois só eu sei<br/>Pra onde ir<br/>Por onde andei<br/>Ando só<br/>Nem sei por que<br/>Não me pergunte<br/>O que eu não sei</p>, <p>Pergunte ao pó<br/>Desça o porão<br/>Siga aquele carro<br/>Ou as pegadas que eu deixei<br/>Pergunte ao pó<br/>Por onde andei<br/>Há um mapa dos meus passos<br/>Nos pedaços que eu deixei</p>, <p>Desate o nó<br/>Que te prendeu<br/>A uma pessoa que nunca te mereceu<br/>Desate o nó<br/>Que nos uniu<br/>Num desatino<br/>Um desafio</p>, <p>Ando só<br/>Como um pássaro voando<br/>Ando só<br/>Como se voasse em bando<br/>Ando só<br/>Pois só eu sei andar<br/>Sem saber até quando<br/>Ando só</p>]"
A Promessa,"[<p>Não vejo nada (o que eu vejo não me agrada)<br/>Não ouço nada (o que eu ouço não diz nada)<br/>Perdi a conta das pérolas e porcos<br/>Que eu cruzei pela estrada</p>, <p>Estou ligado a cabo<br/>A tudo que acaba de acontecer</p>, <p>Propaganda é a arma do negócio<br/>No nosso peito bate um alvo muito fácil<br/>Mira a laser, miragem de consumo<br/>Latas e litros de paz teleguiada</p>, <p>Estou ligado a cabo<br/>A tudo que eles têm pra oferecer</p>, <p>O céu é só uma promessa<br/>Eu tenho pressa, vamos nessa direção<br/>Atrás de um sol que nos aqueça<br/>Minha cabeça não aguenta mais</p>, <p>Tu me encontrastes de mãos vazias<br/>Eu te encontrei na contramão<br/>Na hora exata, na encruzilhada<br/>Na highway da super-informação</p>, <p>Estamos tão ligados<br/>Já não temos o que temer</p>, <p>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção<br/>Atrás de um sol que nos aqueça<br/>Minha cabeça não aguenta mais</p>, <p>Não aguenta mais</p>, <p>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção<br/>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção</p>, <p>O céu é só uma promessa</p>]"
Ninguém = Ninguém,"[<p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há tanta gente pelas ruas<br/>Há tantas ruas e nenhuma é igual a outra<br/>Ninguém é igual a ninguém<br/>Me espanta de tanta gente sinta<br/>Se é que sente a mesma indiferença</p>, <p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há palavras que nunca são ditas<br/>Há muitas vozes repetindo a mesma frase<br/>Ninguém é igual a ninguém<br/>Me espanta que tanta gente minta<br/>Descaradamente, a mesma mentira</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais</p>, <p>Há pouca água e muita sede<br/>Uma represa, um apartheid<br/>A vida seca, os olhos úmidos<br/>Entre duas pessoas<br/>Entre quatro paredes<br/>Tudo fica claro<br/>Ninguém fica indiferente<br/>Ninguém é igual a ninguém<br/>Me assusta que justamente agora<br/>Todo mundo, tanta gente, tenha ido embora</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Que os outros</p>, <p>O que encanta é que tanta gente<br/>Sinta, se é que sente, ou<br/>Minta desesperadamente<br/>Da mesma forma</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Todos iguais<br/>Tão desiguais</p>]"
Mapas do Acaso,"[<p>não peça perdão, a culpa não é sua <br/>estamos no mesmo barco e ele ainda flutua <br/>não perca a razão, ela já não é sua <br/>onda após onda, o barco ainda flutua <br/>ao sabor do acaso <br/>apesar dos pesares <br/>ao sabor do acaso... flutua</p>, <p>então, preste atenção: o mar não ensina, insinua <br/>estamos no mesmo barco, sob a mesma lua <br/>no mar, em marte, em qualquer parte <br/>estaremos sempre sob a mesma lua <br/>ao sabor da corrente <br/>tão fortes quanto o elo mais fraco <br/>ao sabor da corrente... sob a mesma lua</p>, <p>âncora, vela <br/>?qual me leva? <br/>?qual me prende? <br/>mapas e bússola <br/>sorte e acaso <br/>?quem sabe (?) do que depende?</p>]"
Somos Quem Podemos Ser,"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
Sampa No Walkman,"[<p>Este sou eu <br/>Parado na esquina <br/>A mesma esquina em outra canção<br/>(o barulho termina, começa a canção) </p>, <p>É a verdade <br/>A-ver-a-cidade <br/>Alguma coisa acontece no meu coração</p>, <p>Estas são elas <br/>Tuas meninas <br/>(nordestinas, erundinas) <br/>tua mais completa contradição</p>, <p>Esta São Paulo <br/>São tantas cidades <br/>Nunca tantas quantas gostaria de ser</p>, <p>Ouvindo Sampa no walkman <br/>(vidro, concreto e metal) <br/>Ouvindo Sampa no walkman <br/>Duvido de qualquer cartão postal</p>, <p>Este sou eu <br/>Parado na esquina <br/>A-ver-a-cidade, ouvindo a canção</p>, <p>Deuses da chuva <br/>Demônios da garoa <br/>Garotas propaganda além dos outdoors</p>, <p>FIESP, favelas<br/>Ouro &amp; ferro velho <br/>Surfista ferroviário <br/>(o contrário do contrário do contrário do...)</p>, <p>Esta São Paulo <br/>São tantas cidades <br/>Nessas cidades eu vejo a canção</p>, <p>Ouvindo Sampa no walkman <br/>Samples de sons audiovisuais <br/>Ouvindo Sampa no walkman <br/>A ponte aérea, no metrô</p>, <p>Ouvindo Sampa no walkman (vidro, concreto &amp; metal) <br/>Ouvindo Sampa no walkman Duvido de qualquer cartão postal <br/>Ouvindo Sampa no walkman Samples de sons audiovisuais <br/>Ouvindo Sampa no walkman na Ponte aérea, no metrô<br/>Ouvindo Sampa no walkman a walk on the wild side</p>, <p>Este sou eu <br/>Na esquina, de novo <br/>Tudo é tão novo quanto esta canção <br/>?Será que alguém presta atenção?</p>]"
Toda Forma de Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Hora do Mergulho,"[<p>Feche a porta, esqueça o barulho<br/>Feche os olhos, tome ar<br/>É hora do mergulho!</p>, <p>Eu sou moço, seu moço, e o poço não é tão fundo</p>, <p>Super-homem, não supera a superfície<br/>Nós mortais viemos do fundo<br/>Eu sou velho, meu velho, tão velho quanto o mundo</p>, <p>Eu quero paz, uma trégua<br/>Do lilás-neon-Las Vegas<br/>Profundidade: 20. 000 léguas<br/>Se queres paz, te prepara para a guerra<br/>Se não queres nada, descansa em paz</p>, <p>Luz, pediu o poeta, últimas palavras, lucidez completa<br/>Depois silêncio</p>, <p>Esqueça a luz! Respire fundo!<br/>Eu sou um déspota esclarecido nessa escura e profunda mediocracia</p>]"
Crônica,"[<p>Já não passa nenhum carro por aqui<br/>Já não passa nenhum filme na TV<br/>Você enrola outro cigarro por aí<br/>E não dá bola pro que vai acontecer</p>, <p>Mais um pouco e mais um século termina<br/>Mais um louco pede troco na esquina<br/>Tudo isso já faz parte da rotina<br/>E a rotina já faz parte de você</p>, <p>Que tem ideias tão modernas<br/>E é o mesmo homem que vivia nas cavernas</p>, <p>Você, que tem ideias tão modernas<br/>É o mesmo homem que vivia nas cavernas</p>, <p>Todo mundo já tomou a Coca-Cola<br/>E a Coca-Cola já tomou conta da China<br/>Todo cara luta por uma menina<br/>E a Palestina luta pra sobreviver</p>, <p>E a cidade cada vez mais violenta<br/>(Tipo Chicago nos anos quarenta)<br/>E você, cada vez mais violento<br/>No seu apartamento ninguém fala com você</p>, <p>Que tem ideias tão modernas<br/>E é o mesmo homem que vivia nas cavernas</p>, <p>Você, que tem ideias tão modernas<br/>É o mesmo homem que vivia nas cavernas</p>]"
A Conquista do Espaço,"[<p>Costas quentes (sempre em frente)<br/>Frente fria (sempre em frente)<br/>Sangue quente (sempre em frente)<br/>Demente sangria (sempre, sempre)</p>, <p>Passo a passo à eternidade<br/>Um passo em falso: A cara no chão<br/>Um grande passo pra humanidade<br/>Um pequeno veneno pra cada um de nós</p>, <p>Lá do alto deve ser bonito!<br/>Aqui de cima é muito legal<br/>No asfalto meus tênis derretem!<br/>Aqui em cima nem frio nem calor</p>, <p>Bola nas costas (sempre em frente)<br/>Atrás vem gente (sempre em frente)<br/>Sempre alerta (sangue frio)<br/>Sempre em frente (sempre, sempre)</p>, <p>Passo a passo - Pégasus!<br/>Pegadas pelo espaço a conquistar<br/>Bola de neve morro àbaixo<br/>Sempre em frente, pra cima, pro alto</p>, <p>Lá do alto deve ser esquisito<br/>Aqui de cima até que é normal<br/>Minha cabeça pesa quase dois séculos<br/>Meu corpo flutua, peso nenhum!</p>, <p>Cara a cara (a conquista do espelho)<br/>Passo a passo (a conquista do espaço)</p>, <p>Lá do alto deve ser bonito!<br/>Aqui de cima até que é normal<br/>Minha cabeça presa entre dois mundos<br/>Meu corpo flutua: Mundo nenhum!</p>, <p>A mídia, a mediocracia<br/>Muito Zorro e nenhum Sargento Garcia<br/>Francamente<br/>Há muito já não somos como já fomos<br/>Todos iguais<br/>Iguais aos poucos que ainda andam<br/>Iguais a tantos que andam loucos<br/>Iguais a loucos que ainda andam<br/>Iguais a santos que andam loucos de satisfação<br/>Ouvindo pampa no walkman (descubro um passado que não me pertence)<br/>Ouvindo pampa no walkman (3rd world music, mito e nonsense)<br/>Ouvindo pampa no walkman (pertenço a um país que não me pertence)<br/>Ouvindo pampa no walkman (não sou gaúcho: Sou porto-alegrense)</p>]"
Herdeiro da Pampa Pobre,"[<p>Mas que pampa é essa que eu recebo agora<br/>Com a missão de cultivar raízes<br/>Se dessa pampa que me fala a história<br/>Não me deixaram nem sequer matizes?</p>, <p>Passam às mãos da minha geração<br/>Heranças feitas de fortunas rotas<br/>Campos desertos que não geram pão<br/>Onde a ganância anda de rédeas soltas</p>, <p>Se for preciso, eu volto a ser caudilho<br/>Por essa pampa que ficou pra trás<br/>Porque eu não quero deixar pro meu filho<br/>A pampa pobre que herdei de meu pai</p>, <p>Que pampa é essa que eu recebo agora<br/>Com a missão de cultivar raízes<br/>Se dessa pampa que me fala a história<br/>Não me deixaram nem sequer matizes?</p>, <p>Passam às mãos da minha geração<br/>Heranças feitas de fortunas rotas<br/>Campos desertos que não geram pão<br/>Onde a ganância anda de rédeas soltas</p>, <p>Se for preciso, eu volto a ser caudilho<br/>Por essa pampa que ficou pra trás<br/>Porque eu não quero deixar pro meu filho<br/>A pampa pobre que herdei de meu pai</p>, <p>Herdei um campo onde o patrão é rei<br/>Tendo poderes sobre o pão e as águas<br/>Onde esquecido vive o peão sem leis<br/>De pés descalços cabresteando mágoas</p>, <p>O que hoje herdo da minha grei chirua<br/>É um desafio que a minha idade afronta<br/>Pois me deixaram com a guaiaca nua<br/>Pra pagar uma porção de contas</p>, <p>Se for preciso, eu volto a ser caudilho<br/>Por essa pampa que ficou pra trás<br/>Porque eu não quero deixar pro meu filho<br/>A pampa pobre que herdei de meu pai</p>, <p>Eu não quero deixar pro meu filho<br/>A pampa pobre que herdei de meu pai</p>, <p>Eu não quero deixar pro meu filho<br/>A pampa pobre que herdei de meu pai</p>]"
"Era Um Garoto, Que Como Eu, Amava Os Beatles e Os Rolling Stones","[<p>Era um garoto que como eu<br/>Amava os Beatles e os Rolling Stones<br/>Girava o mundo sempre a cantar<br/>As coisas lindas da América</p>, <p>Não era belo, mas mesmo assim<br/>Havia mil garotas a fim<br/>Cantava Help and Ticket to Ride<br/>Oh Lady Jane e Yesterday</p>, <p>Cantava viva à liberdade<br/>Mas uma carta, sem esperar<br/>Da sua guitarra o separou<br/>Fora chamado na América</p>, <p>Stop! Com Rolling Stones<br/>Stop! Com Beatles songs<br/>Mandado foi ao Vietnã<br/>Lutar com Vietcongs</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Era um garoto que como eu<br/>Amava os Beatles e os Rolling Stones<br/>Girava o mundo, mas acabou<br/>Fazendo a guerra no Vietnã</p>, <p>Cabelos longos não usa mais<br/>Não toca a sua guitarra, e sim<br/>Um instrumento que sempre dá<br/>A mesma nota, ra-tá-tá-tá</p>, <p>Não tem amigos, não vê garotas<br/>Só gente morta caindo ao chão<br/>Ao seu país não voltará<br/>Pois está morto no Vietnã</p>, <p>Stop! Com Rolling Stones<br/>Stop! Com Beatles songs<br/>No peito, um coração não há<br/>Mas duas medalhas sim</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Ratá-tá tá tá<br/>Ratá-tá tá tá</p>]"
